City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kayes,14.0,-11.0,23.61,80,100,3.32,ML,1696228405
83,andergrove,-21.0833,149.1833,22.58,80,23,6.19,AU,1696275793
84,ancud,-41.8697,-73.8203,8.68,64,93,2.03,CL,1696242447
85,cidreira,-30.1811,-50.2056,14.22,75,2,3.2,BR,1696237089
86,saint-pierre,-21.3393,55.4781,21.82,68,0,2.06,RE,1696298263
87,qaqortoq,60.7167,-46.0333,5.15,56,100,1.28,GL,1696237902
88,anadyr,64.75,177.4833,0.28,80,0,5.0,RU,1696270951
89,zahedan,29.4963,60.8629,14.95,21,0,2.06,IR,1696297824
90,afaahiti,-17.75,-149.2833,26.93,87,69,6.69,PF,1696261096
91,la ronge,55.1001,-105.2842,7.14,87,100,2.57,CA,1696251906
92,thompson,55.7435,-97.8558,7.09,81,100,0.0,CA,1696250145
93,ambalangoda,6.2355,80.0538,25.13,87,100,1.29,LK,1696292833
94,balabac,7.9868,117.0645,27.63,80,96,4.23,PH,1696283978
95,atakpame,7.5333,1.1333,22.86,96,98,1.5,TG,1696225400
96,longyearbyen,78.2186,15.6401,-3.09,68,75,7.72,SJ,1696311854
97,salinopolis,-0.6136,-47.3561,27.27,81,33,6.77,BR,1696236918
98,queenstown,-31.8976,26.8753,18.68,32,0,2.53,ZA,1696304890
99,berberati,4.2612,15.7922,21.62,97,99,0.37,CF,1696221836
100,tiksi,71.6872,128.8694,-2.64,80,100,6.64,RU,1696283282
101,iqaluit,63.7506,-68.5145,3.85,80,100,4.92,CA,1696243472
102,cockburn town,21.4612,-71.1419,28.66,75,49,5.28,TC,1696242953
103,remire-montjoly,4.9167,-52.2667,28.02,74,0,4.12,GF,1696238177
104,port mathurin,-19.6833,63.4167,23.52,82,31,6.95,MU,1696296391
105,port lincoln,-34.7333,135.8667,13.24,75,72,6.48,AU,1696278684
106,berezovyy,51.6667,135.7,6.39,89,94,0.74,RU,1696280384
107,sinop,41.7711,34.8709,12.48,90,51,2.6,TR,1696304325
108,dickinson,29.4608,-95.0513,31.74,59,20,8.23,US,1696248824
109,lautoka,-17.6167,177.4667,25.92,57,40,6.17,FJ,1696269074
110,puerto ayora,-0.7393,-90.3518,26.98,93,88,2.68,EC,1696247232
111,stanley,54.868,-1.6985,10.01,93,20,2.06,GB,1696227004
112,enewetak,11.3474,162.3373,28.76,79,87,7.72,MH,1696273165
113,zuunmod,47.7069,106.9528,-7.43,84,93,2.06,MN,1696287168
114,krasnogorskiy,54.6025,61.231,13.17,67,100,3.15,RU,1696298384
115,jiayuguan,39.8167,98.3,12.83,38,100,1.88,CN,1696289045
116,lebanon,36.2081,-86.2911,30.93,48,0,1.54,US,1696246845
117,korla,41.7597,86.1469,17.79,33,99,4.55,CN,1696292010
118,maracacume,-2.0428,-45.9592,28.74,59,50,3.64,BR,1696236561
119,mount isa,-20.7333,139.5,23.87,35,7,2.06,AU,1696278122
120,kandukur,15.2167,79.9167,28.04,68,88,4.79,IN,1696293007
121,port saint john's,-31.6229,29.5448,17.87,75,0,5.88,ZA,1696304256
122,urangan,-25.3,152.9,22.21,68,6,4.71,AU,1696274818
123,pandan,14.0453,124.1694,27.36,84,100,5.39,PH,1696282367
124,vernon,50.2581,-119.2691,16.45,58,81,0.51,CA,1696255104
125,rongelap,11.1635,166.8941,29.08,76,100,6.46,MH,1696272068
126,puerto natales,-51.7236,-72.4875,6.4,90,76,1.79,CL,1696241757
127,juuka,63.2333,29.25,7.53,93,100,3.24,FI,1696306499
128,petropavlovsk-kamchatsky,53.0452,158.6483,8.03,88,75,6.71,RU,1696274917
129,acarau,-2.8856,-40.12,26.31,84,74,7.51,BR,1696235148
130,daru,-9.0763,143.2092,25.82,84,76,5.83,PG,1696277438
131,dudinka,69.4058,86.1778,0.9,96,100,10.28,RU,1696293300
132,dinguiraye,11.3,-10.7167,23.57,89,100,0.56,GN,1696228298
133,new norfolk,-42.7826,147.0587,17.72,89,100,2.06,AU,1696275766
134,kerikeri,-35.2268,173.9474,16.62,74,11,0.89,NZ,1696269541
135,pointe-du-lac,46.2869,-72.6845,20.99,59,0,3.6,CA,1696243802
136,mbekenyera,-10.0,38.9833,20.0,85,26,0.74,TZ,1696302426
137,villa la angostura,-40.7617,-71.6463,4.79,93,98,1.88,AR,1696241959
138,kruisfontein,-34.0033,24.7314,18.96,39,0,2.81,ZA,1696305350
139,hami,42.8,93.45,16.49,34,51,0.67,CN,1696290281
140,mount pearl,47.5166,-52.7813,10.25,92,20,2.57,CA,1696239053
141,namibe,-15.1961,12.1522,19.37,80,4,3.17,AO,1696222416
142,artesia,33.8658,-118.0831,26.51,56,0,6.69,US,1696254434
143,keshorai patan,25.3,75.9333,25.57,44,11,2.37,IN,1696294130
144,strathalbyn,-35.2667,138.9,16.06,85,34,4.59,AU,1696277943
145,rohru,31.2167,77.75,14.39,79,17,1.97,IN,1696293802
146,georgetown,5.4112,100.3354,27.23,92,20,2.06,MY,1696287953
147,la passe,45.5549,-0.8967,20.13,90,7,4.16,FR,1696313015
148,loango,-4.6719,11.8312,24.45,88,31,3.1,CG,1696222657
149,usogorsk,63.4106,48.6872,3.7,90,72,2.1,RU,1696301836
150,fort mcmurray,56.7268,-111.381,12.77,76,100,4.63,CA,1696253434
151,prien,30.1819,-93.2738,32.23,36,0,4.63,US,1696248410
152,ust-nera,64.5667,143.2,-1.55,81,33,0.89,RU,1696279184
153,marang,5.2056,103.2059,24.96,86,100,1.17,MY,1696287261
154,minas de marcona,-15.2119,-75.1103,16.02,75,38,7.09,PE,1696243348
155,punta arenas,-53.15,-70.9167,8.06,66,0,5.14,CL,1696241313
156,arno,60.1167,18.6333,12.66,93,100,4.8,SE,1696308871
157,kayangel,8.0823,134.7173,28.42,75,16,4.0,PW,1696279743
158,oliver,49.1831,-119.5524,17.95,45,96,2.06,CA,1696255141
159,vila franca do campo,37.7167,-25.4333,20.23,99,66,4.44,PT,1696232260
160,phetchaburi,12.9667,99.5833,23.78,92,100,1.46,TH,1696288251
161,bireun,5.203,96.7009,25.83,85,100,2.38,ID,1696288822
162,rawson,-43.3002,-65.1023,10.5,63,32,5.74,AR,1696240312
163,dunay,42.8803,132.3375,14.01,65,4,2.63,RU,1696280943
164,fauske,67.2588,15.3918,7.02,93,100,2.26,NO,1696310130
165,betioky,-23.7167,44.3833,16.68,66,1,5.56,MG,1696300876
166,margaret river,-33.95,115.0667,13.02,66,92,6.0,AU,1696283692
167,colonia,50.9333,6.95,20.49,76,0,2.57,DE,1696311294
168,atafu village,-8.5421,-172.5159,28.46,74,7,3.87,TK,1696353191
169,utrik,11.2278,169.8474,28.79,78,26,7.27,MH,1696271361
170,wynyard,-41.0,145.7167,13.5,99,100,2.64,AU,1696276145
171,ad dawadimi,24.5077,44.3924,26.64,16,1,4.98,SA,1696301688
172,empangeni,-28.762,31.8933,16.77,60,0,5.94,ZA,1696303761
173,dubuque,42.4833,-90.8668,29.79,39,0,5.14,US,1696248077
174,matoury,4.8483,-52.3317,27.98,74,0,4.12,GF,1696238191
175,taveta,-3.3963,37.6736,20.85,66,45,2.71,KE,1696302850
176,markivka,49.5229,39.5705,12.95,77,99,4.18,UA,1696303411
177,extrema,-22.8547,-46.3183,19.84,92,50,1.21,BR,1696236306
178,shingu,33.7333,135.9833,17.19,65,79,2.08,JP,1696279868
179,east london,-33.0153,27.9116,18.39,72,0,5.85,ZA,1696304613
180,manokwari,-0.8667,134.0833,25.72,82,100,0.93,ID,1696279758
181,longview,32.5007,-94.7405,32.14,29,20,5.14,US,1696248803
182,colon,9.3592,-79.9014,26.62,84,100,1.34,PA,1696244873
183,west island,-12.1568,96.8225,24.99,69,40,5.66,CC,1696288514
184,wulingyuan,29.3494,110.5441,16.53,97,100,1.66,CN,1696285893
